eventid	iyear	imonth	iday	extended	country	country_txt	region	region_txt	provstate	city	latitude	longitude	specificity	vicinity	location	summary	crit1	crit2	crit3	doubtterr	alternative	alternative_txt	multiple	success	suicide	attacktype1	attacktype1_txt	targtype1	targtype1_txt	targsubtype1	targsubtype1_txt	corp1	target1	natlty1	natlty1_txt	gname	motive	guncertain1	individual	nperps	nperpcap	claimed	compclaim	weaptype1	weaptype1_txt	weapsubtype1	weapsubtype1_txt	nkill	nkillter	nwound	nwoundte	property	propextent	propextent_txt	ishostkid	nhostkid	dbsource	id	population
1.98E+11	1979	4	1	0	403	Rhodesia	11	Sub-Saharan Africa	Unknown	Unknown			5	0			1	1	0	1	1	Insurgency/Guerilla Action	0	0	0	3	Bombing/Explosion	4	Military	27	Military Barracks/Base/Headquarters/Checkpost		Main Fuel Dump	403	Rhodesia	Zimbabwe African Nationalist Union (ZANU)		0	0					6	Explosives/Bombs/Dynamite	16	Unknown Explosive Type	0		0		0			0		PGIS		
2.00E+11	1995	6	1	0	153	Pakistan	6	South Asia	Sindh	Karachi	24.893379	67.028061	1	0			1	1	0	1	1	Insurgency/Guerilla Action	0	1	0	3	Bombing/Explosion	4	Military	27	Military Barracks/Base/Headquarters/Checkpost	Naval Housing	Apartment block	153	Pakistan	Unknown		0	0					6	Explosives/Bombs/Dynamite	15	Vehicle	0		0		1			0		PGIS	PAK	177276594
2.01E+11	2012	2	21	0	153	Pakistan	6	South Asia	Khyber Pakhtunkhwa	Mardan	34.198181	72.044411	1	0	Event occurred at the Baghdada bridge in Mardan	"02/21/2012: Police defused an explosive device found at the Baghdada bridge in Mardan district, Khyber Pakhtunkhwa province, Pakistan. There were no casualties. No group claimed responsibility for the incident."	1	1	1	0			0	0	0	3	Bombing/Explosion	19	Transportation	103	Bridge/Car Tunnel	Baghdada Bridge	Bridge	153	Pakistan	Unknown		0	0	-99	0	0		6	Explosives/Bombs/Dynamite	16	Unknown Explosive Type	0	0	0	0	0			0		START Primary Collection	PAK	177276594
1.99E+11	1992	7	3	0	209	Turkey	10	Middle East & North Africa	Mardin	Unknown	37.345275	40.619481	4	0			1	1	1	0			0	1	0	2	Armed Assault	3	Police	25	Police Security Forces/Officers	Police	unit	209	Turkey	Kurdistan Workers' Party (PKK)		0	0					5	Firearms	2	Automatic Weapon	1		0		1			0		PGIS	TUR	77804122
1.99E+11	1992	10	23	1	45	Colombia	3	South America	Magdalena	Santa Marta	11.242035	-74.205384	1	0			1	1	1	0			0	1	0	6	Hostage Taking (Kidnapping)	1	Business	5	Industrial/Textiles/Factory	Baltime Banana Export Co.	Project Manager Peter Arthur Kessler	216	Great Britain	Revolutionary Armed Forces of Colombia (FARC)		0	0					13	Unknown			1		0		0			1	1	PGIS	COL	44205293
1.99E+11	1989	1	27	0	159	Peru	3	South America	Ica	Ica	-14.063467	-75.729381	1	0			1	1	1	0			0	1	0	2	Armed Assault	2	Government (General)	21	Government Building/Facility/Office	Government	Office ministry of Housing	159	Peru	Shining Path (SL)		0	0					5	Firearms	3	Handgun	0		0		1			0		PGIS	PER	29907003
2.01E+11	2013	5	2	0	205	Thailand	5	Southeast Asia	Narathiwat	Sungai Kolok	6.020112	101.956889	1	1		"05/02/2013: An assailant shot and injured a paramilitary ranger in Sungai Kolok town, Narathiwat province, Thailand. No group claimed responsibility for the incident; however, officials attribute the attack to separatists."	1	1	0	1	1	Insurgency/Guerilla Action	0	1	0	2	Armed Assault	4	Military	39	Paramilitary	Thahan Phran	Company 4510 Ranger	205	Thailand	Separatists		0	0	1	0	0		5	Firearms	5	Unknown Gun Type	0	0	1	0	0			0		START Primary Collection	THA	66404688
1.99E+11	1986	6	2	0	159	Peru	3	South America	Junin	Huancayo	-12.068306	-75.210163	1	0			1	1	1	0			0	1	0	3	Bombing/Explosion	1	Business	3	Bank/Commerce		bank of credit	159	Peru	Shining Path (SL)		0	0					6	Explosives/Bombs/Dynamite	16	Unknown Explosive Type	0		0		1			0		PGIS	PER	29907003
2.00E+11	2003	7	14	0	69	France	8	Western Europe	Corsica	Bastia	42.697598	9.450275	1	0		"07/14/2003: On France’s Bastille Day, suspected nationalists of Corsica set-off an explosion in the post office of Bastia. The blast occurred minutes after French President Jacques Chirac finished a speech and caused major damage to the post office. The initials of a banned nationalist movement, the Corsican National Liberation Front, or Fronte di Liberazione Naziunale di a Corsica, (FNLC), were found near the site of the post office explosion, police said. No one was reported injured of killed. Four days after the attack (07/18/2003) the group claimed responsibility for the attack. This is one of four connected attacks carried out by the FNLC."	1	1	1	0			1	1	0	3	Bombing/Explosion	2	Government (General)	21	Government Building/Facility/Office	Post Office of France	Post Office in Bastia	69	France	Corsican National Liberation Front (FLNC)	Unknown	0	0			1	-9	6	Explosives/Bombs/Dynamite	16	Unknown Explosive Type	0	0	0	0	1	3	Minor (likely < $1 million)	0		CETIS	FRA	64057792
2.00E+11	1997	8	24	0	45	Colombia	3	South America	Unknown	Unknown			5	0			1	1	1	-9			0	1	0	6	Hostage Taking (Kidnapping)	2	Government (General)	15	Politician or Political Party Movement/Meeting/Rally		Candidate	45	Colombia	Unknown		0	0					13	Unknown			0		0		0			1	1	PGIS	COL	44205293
1.99E+11	1986	1	15	0	160	Philippines	5	Southeast Asia	Tarlac	Capas	15.332693	120.590212	1	0			1	1	1	0			0	1	0	1	Assassination	2	Government (General)	15	Politician or Political Party Movement/Meeting/Rally	Corazon Aquino	"Jeremias de Jesus, opposition candidate"	160	Philippines	Unknown		0	0					5	Firearms	5	Unknown Gun Type	1		0		0			0		PGIS	PHL	99900177
1.99E+11	1987	7	13	0	159	Peru	3	South America	Pasco	Cerro de Pasco	-10.683594	-76.25621	1	0			1	1	1	0			1	1	0	3	Bombing/Explosion	2	Government (General)	21	Government Building/Facility/Office	Government	Government office	159	Peru	Shining Path (SL)		0	0					6	Explosives/Bombs/Dynamite	16	Unknown Explosive Type	0		0		1			0		PGIS	PER	29907003
2.01E+11	2014	7	22	0	92	India	6	South Asia	Jammu and Kashmir	Akhnoor	32.899421	74.742461	1	0		"07/22/2014: Assailants opened fire on Indian Army posts in Akhnoor tehsil, Rajouri district, Jammu and Kashmir state, India. One soldier was killed in the attack. No group claimed responsibility for the incident."	1	1	0	1	1	Insurgency/Guerilla Action	0	1	0	2	Armed Assault	4	Military	27	Military Barracks/Base/Headquarters/Checkpost	Indian Army	Posts	92	India	Unknown		0	0	10	0	0		5	Firearms	5	Unknown Gun Type	1	0	0	0	0			0		START Primary Collection	IND	1173108018
2.01E+11	2014	6	11	0	153	Pakistan	6	South Asia	Khyber Pakhtunkhwa	Kot Azam	32.087295	70.199506	1	0		"06/11/2014: Assailants opened fire on the residence of Ataullah Khan in Kot Azam area, Khyber Pakhtunkhwa province, Pakistan. Khan, the Tank Aman Lashkar chief, was unharmed; however, two assailants were killed in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to Tehrik-i-Taliban Pakistan (TTP)."	1	1	1	0			0	1	0	2	Armed Assault	17	Terrorists/Non-State Militia	94	Non-State Militia	Tank Aman Lashkar	Chief: Ataullah Khan	153	Pakistan	Tehrik-i-Taliban Pakistan (TTP)		0	0	-99	0	0		6	Explosives/Bombs/Dynamite	7	Grenade	2	2	0	0	-9			0		START Primary Collection	PAK	177276594
2.00E+11	2000	5	16	0	160	Philippines	5	Southeast Asia	Basilan	Colonia	6.641574	122.157351	1	0		"05/16/2000: In one of two linked incidents, five-hundred fighters of the Moro Islamic Liberation Front (MILF) attacked the villages of Baroy and Colonia in Lamitan municipality, Basilan Province, Philippines. The rebels killed a militia man and wounded a civilian. They also burned two dump trucks in the attacks."	1	1	1	0			1	1	0	9	Unknown	14	Private Citizens & Property	75	Village/City/Town/Suburb	Village of Colonia	Civilians and property in the village of Colonia	160	Philippines	Moro Islamic Liberation Front (MILF)	Unknown	0	0	500	0	1	-9	13	Unknown			0	0	0	0	1	3	Minor (likely < $1 million)	0		CETIS	PHL	99900177
2.01E+11	2006	8	9	0	186	Sri Lanka	6	South Asia	Unknown	Unknown			5	0		08/09/2006: A roadside bomb exploded near an ambulance in northern Sri Lanka. Five people were killed. No claim of responsibility was reported.	1	1	1	0			0	1	0	3	Bombing/Explosion	14	Private Citizens & Property	77	Laborer (General)/Occupation Identified	Civilians	Doctors and nurses	186	Sri Lanka	Liberation Tigers of Tamil Eelam (LTTE)	Unknown	0	0			0		6	Explosives/Bombs/Dynamite	16	Unknown Explosive Type	5				-9			0		CETIS	LKA	21513990
1.99E+11	1992	11	3	0	4	Afghanistan	6	South Asia	Kabul	Kabul	34.533056	69.166111	1	0			1	1	1	0			0	0	0	1	Assassination	2	Government (General)	18	"Government Personnel (excluding police, military)"	govt	"deputy minister for National Afghanistan (security, Khan Mohammed)"	4	Afghanistan	Unknown		0	0					6	Explosives/Bombs/Dynamite	15	Vehicle	0		1		0			0		PGIS	AFG	29121286
2.00E+11	1995	5	15	0	92	India	6	South Asia	Jammu and Kashmir	Srinagar	34.083658	74.797368	1	0			1	1	1	-9			1	1	0	8	Unarmed Assault	3	Police	25	Police Security Forces/Officers	Gov't	Police	92	India	Muslim Separatists		0	0					9	Melee	21	Blunt Object	0		0		0			0		PGIS	IND	1173108018
1.99E+11	1994	12	21	0	159	Peru	3	South America	Lima	Lima	-12.046378	-77.042791	1	0			1	1	1	0			1	1	0	7	Facility/Infrastructure Attack	1	Business	7	Retail/Grocery/Bakery		Store	159	Peru	Shining Path (SL)		1	0					8	Incendiary	18	Arson/Fire	0		0		1			0		PGIS	PER	29907003
2.01E+11	2014	8	17	0	153	Pakistan	6	South Asia	Sindh	Karachi	24.924444	66.973611	1	0	"Incident occurred in Baldia Town, Karachi, Sindh province."	"08/17/2014: Assailants opened fire on a police officer in Baldia Town, Karachi city, Sindh province, Pakistan. The police officer was killed in the attack. No group claimed responsibility for the incident."	0	1	1	1	2	Other Crime Type	0	1	0	2	Armed Assault	3	Police	25	Police Security Forces/Officers	Pakistani Police	Officer: Abdul Wakeel	153	Pakistan	Unknown		0	0	-99	0	0		5	Firearms	5	Unknown Gun Type	1	0	0	0	0			0		START Primary Collection	PAK	177276594
2.02E+11	2015	11	7	0	95	Iraq	10	Middle East & North Africa	Al Anbar	Albu Hayat	33.191915	40.040256	1	0		"11/07/2015: Assailants attacked security force members in Albu Hayat, Al Anbar, Iraq. Nine assailants were killed and 11 security members were injured in the ensuing clash. No group claimed responsibility for the incident; however, sources attributed the attack to Islamic State of Iraq and the Levant (ISIL)."	1	1	0	1	1	Insurgency/Guerilla Action	0	1	0	9	Unknown	4	Military	34	"Military Personnel (soldiers, troops, officers, forces)"	Armed Forces of Iraq	Soldiers	95	Iraq	Islamic State of Iraq and the Levant (ISIL)		0	0	9	0	0		13	Unknown			9	9	11	0	0			0		START Primary Collection	IRQ	29671605
1.99E+11	1990	10	23	0	69	France	8	Western Europe	Ile-de-France	Paris	48.856614	2.352222	1	0			1	1	1	-9			0	1	0	1	Assassination	14	Private Citizens & Property	82	Labor Union Related	Flag of Freedom Organization*	Cyrus Elahi	94	Iran	Unknown		0	0					5	Firearms	3	Handgun	1		0		0			0		PGIS	FRA	64057792
2.01E+11	2014	3	10	0	92	India	6	South Asia	Andhra Pradesh	Tummala	17.769831	81.310141	1	0	The incident occurred in the Khammam district of the state.	"03/10/2014: Assailants abducted a Communist Party of India - Maoist (CPI-Maoist) member from Khammam area, Tummala village, Andhra Pradesh state, India. The individual was killed later the same day. Maoists claimed responsibility for the incident."	1	1	1	0			0	1	0	6	Hostage Taking (Kidnapping)	14	Private Citizens & Property	84	Political Party Member/Rally	Communist Party of India: Marxist (CPI-M)	Tehsil Committee Member: Patra Mutyam	92	India	Maoists	Maoists claimed responsibility for the incident and stated that Patra Mutyam was targeted because they believed the victim was a police informant.	0	0	-99	0	1		5	Firearms	5	Unknown Gun Type	1	0	0	0	0			1	1	START Primary Collection	IND	1173108018
2.01E+11	2005	2	18	0	95	Iraq	10	Middle East & North Africa	Baghdad	Baghdad	33.38017	44.338207	1	0		02/18/2005: A suicide bomber wearing an explosives belt under black robes bombed the Al Kadimain Mosque in southern Baghdad killing 15 worshippers and wounding 32 others. A security guard discovered and tackled the perpetrator after seeing the explosive belt. People were arriving at the mosque in observance of the Shi i holy day of Ashura.	1	1	1	0			1	1	1	3	Bombing/Explosion	15	Religious Figures/Institutions	86	Place of Worship	Unknown	Al Kadiman Mosque	95	Iraq	Unknown	Attacks on the Shi i holy day of Ashura	0	0	1	0	-9	-9	6	Explosives/Bombs/Dynamite	13	Suicide (carried bodily by human being)	15	1	33	0	1	4	Unknown	0		CETIS	IRQ	29671605
2.01E+11	2014	7	13	0	95	Iraq	10	Middle East & North Africa	Al Anbar	Qaim	34.368568	41.094567	1	0		"07/13/2014: Assailants executed four men in Qaim town, Al Anbar governorate, Iraq. The Islamic State of Iraq and the Levant (ISIL) claimed responsibility for the incident and stated that the execution was carried out because they believed the victims were spies of the Bashar al-Assad regime in Syria."	1	1	1	0			0	1	0	6	Hostage Taking (Kidnapping)	14	Private Citizens & Property	77	Laborer (General)/Occupation Identified	Not Applicable	Suspected Spies	200	Syria	Islamic State of Iraq and the Levant (ISIL)	The Islamic State of Iraq and the Levant (ISIL) claimed responsibility for the incident and stated that the execution was carried out because they believed the victims were spies of the Bashar al-Assad regime in Syria.	0	0	-99	0	1		5	Firearms	5	Unknown Gun Type	4	0	0	0	0			1	4	START Primary Collection	IRQ	29671605
1.99E+11	1991	3	16	0	209	Turkey	10	Middle East & North Africa	Izmir	Izmir	38.427346	27.13908	1	0			1	1	1	-9			0	1	0	3	Bombing/Explosion	1	Business	5	Industrial/Textiles/Factory		Foreign Auto Factory (owner not stated)			Unknown		0	0					6	Explosives/Bombs/Dynamite	16	Unknown Explosive Type	1		0		1			0		PGIS	TUR	77804122
2.00E+11	1996	5	20	0	92	India	6	South Asia	Assam	Kokrajhar district	26.401436	90.266699	3	0			1	1	1	-9			1	1	0	2	Armed Assault	14	Private Citizens & Property	75	Village/City/Town/Suburb	Santhal Tribe	Village	92	India	Bodo Militants		0	0					8	Incendiary			1				1			0		PGIS	IND	1173108018
2.01E+11	2014	5	13	0	95	Iraq	10	Middle East & North Africa	Baghdad	Hawr Rajab	33.192554	44.410383	1	0		"05/13/2014: An explosive device detonated targeting a police patrol in Hawr Rajab area, Baghdad governorate, Iraq. One police officer was killed and three officers were injured in the blast. No group claimed responsibility for the incident."	1	1	1	0			0	1	0	3	Bombing/Explosion	3	Police	23	Police Patrol (including vehicles and convoys)	Iraqi Police Service (IPS)	Patrol	95	Iraq	Unknown		0	0	-99	0	0		6	Explosives/Bombs/Dynamite	15	Vehicle	1	0	3	0	0			0		START Primary Collection	IRQ	29671605
1.97E+11	1972	6	4	0	603	United Kingdom	8	Western Europe	Northern Ireland	Belfast	54.597269	-5.930109	1	0			1	1	1	0			0	1	0	1	Assassination	14	Private Citizens & Property	69	Religion Identified		"Gerard Murray, 26, Catholic"	233	Northern Ireland	Protestant extremists		0	0					5	Firearms	5	Unknown Gun Type	1				0			0		CAIN	GBR	61284806
1.98E+11	1978	1	3	0	98	Italy	8	Western Europe	Lazio	Anzio	41.447947	12.629052	1	0			1	1	1	0			0	1	0	7	Facility/Infrastructure Attack	22	Violent Political Party	110	Party Office/Facility	Italian Social Movement (MSI)	Office	98	Italy	Unknown		0	0					8	Incendiary			0		0		1	3	Minor (likely < $1 million)	0		PGIS	ITA	58090681
2.01E+11	2006	9	16	0	4	Afghanistan	6	South Asia	Kabul	Masayi	34.368889	69.218333	1	0		"09/16/2006: The Taliban attacked a group of workers from CCI, a non-governmental organization that provides potable water to locals, with a remote-controlled bomb which targeted the workers' vehicle. Three people were killed and one was wounded by the attack, which occurred in the Musayi district of Kabul Province in Afghanistan."	1	1	1	0			0	1	0	3	Bombing/Explosion	12	NGO			CCI NGO	Workers	4	Afghanistan	Taliban	Unknown	0	0		0	1		6	Explosives/Bombs/Dynamite	12	Remote Trigger	4	0	0	0	-9			0		CETIS	AFG	29121286
1.98E+11	1983	12	11	0	159	Peru	3	South America	Ayacucho	Ayacucho	-13.163874	-74.223564	2	1			1	1	1	0			0	1	0	1	Assassination	20	Unknown				unk	159	Peru	Shining Path (SL)		0	0					5	Firearms	2	Automatic Weapon	6		0		0			0		PGIS	PER	29907003
2.01E+11	2006	1	23	0	205	Thailand	5	Southeast Asia	Pattani	Thung Yang Daeng	6.626886	101.445272	3	0		"01/23/2006: Subin Srisanoi was killed by a pillion rider as he was about to arrive home in Thung Yang Daeng district of southern Thailand. The perpetrators of the attack are unknown, but police believe this attack is linked to others in an ongoing insurgency in southern Thailand."	1	1	1	0			0	1	0	2	Armed Assault	14	Private Citizens & Property	68	Named Civilian	Unknown	"Subin Srisanoi, a civilian"	205	Thailand	Unknown	Unknown	0	0		0	0		5	Firearms	5	Unknown Gun Type	1	0	0	0	-9			0		CETIS	THA	66404688
2.01E+11	2013	2	15	0	160	Philippines	5	Southeast Asia	Isabela	Ibujan	16.983006	122.016667	2	0	Located in San Mariano municipality in Cagayan Valley on Luzon island	"02/15/2013: A Filipino army patrol stepped on a landmine in San Mariano municipality, Ibujan, Isabela province, Cagayan Valley region, Philippines. The blast was followed by a brief gunfight between the soldiers and perpetrators. Four soldiers were injured in the attack. No group claimed responsibility; however, the army blamed the New People's Army (NPA)."	1	1	0	1	1	Insurgency/Guerilla Action	0	1	0	3	Bombing/Explosion	4	Military	29	Military Unit/Patrol/Convoy	Philippine Army (PA)	5th Infantry Division Patrol	160	Philippines	New People's Army (NPA)		1	0	-99	0	0		6	Explosives/Bombs/Dynamite	8	Land Mine	0	0	4	0	0			0		START Primary Collection	PHL	99900177
1.98E+11	1982	5	5	0	61	El Salvador	2	Central America & Caribbean		San Salvador	13.69288	-89.199161	1	0			1	1	1	0			0	1	0	3	Bombing/Explosion	21	Utilities	107	Electricity		High tension tower	61	El Salvador	Unknown		0	0					6	Explosives/Bombs/Dynamite	28	Dynamite/TNT	0		1		1			0		PGIS	SLV	6052064
1.98E+11	1983	11	15	0	78	Greece	8	Western Europe	Attica	Athens	37.97918	23.716647	1	0			1	1	1	0			0	1	0	1	Assassination	7	Government (Diplomatic)	45	"Diplomatic Personnel (outside of embassy, consulate)"	"US Military Assistance Group to Greece, US Navy"	"George Tsantes, 53 and Nikolaos Veloutsos"	217	United States	November 17 Revolutionary Organization (N17RO)		1	0					5	Firearms	3	Handgun	2		0		0			0		PGIS	GRC	10749943
1.99E+11	1992	12	16	0	45	Colombia	3	South America	Santander	Barrancabermeja	7.060051	-73.853115	1	0			1	1	1	0			0	1	0	3	Bombing/Explosion	3	Police	22	"Police Building (headquarters, station, school)"	Police	Police Training academy	45	Colombia	Unknown		0	0					6	Explosives/Bombs/Dynamite	16	Unknown Explosive Type	0		0		1			0		PGIS	COL	44205293
1.98E+11	1984	4	6	0	159	Peru	3	South America	San Martin	Moyobamba	-6.034766	-76.973892	1	0			1	1	0	1	1	Insurgency/Guerilla Action	0	1	0	2	Armed Assault	4	Military	35	Military Transportation/Vehicle (excluding convoys)		Military Truck	159	Peru	Shining Path (SL)		0	0					5	Firearms	2	Automatic Weapon	2		0		1	3	Minor (likely < $1 million)	0		PGIS	PER	29907003
2.01E+11	2013	5	3	0	182	Somalia	11	Sub-Saharan Africa	Lower Juba	Kismayo	-0.374819	42.461409	1	0	Incident occurred at the Kismaayo Airport	"05/03/2013: Assailants fired artillery at the airport in Kismaayo city, Lower Juba region, Somalia. The ensuing clash between the assailants and government forces resulted in an unknown number of casualties. No group claimed responsibility for the incident; however, sources attributed the attack to Al-Shabaab."	1	1	0	1	1	Insurgency/Guerilla Action	0	1	0	3	Bombing/Explosion	4	Military	27	Military Barracks/Base/Headquarters/Checkpost	Somali Armed Forces (SAF)	Kismayo Airport	182	Somalia	Al-Shabaab		0	0	-99	0	0		6	Explosives/Bombs/Dynamite	16	Unknown Explosive Type					-9			0		START Primary Collection	SOM	10112453
2.01E+11	2014	4	15	1	4	Afghanistan	6	South Asia	Kabul	Kabul	34.58353	69.124354	1	0	The incident occurred in Khair Khana neighborhood	"04/15/2014: Assailants opened fire on the vehicle of Ahmad Shah Waheed in Khair Khana neighborhood, Kabul city, Kabul province, Afghanistan. Waheed, the Deputy Minister of the Ministry of Public Works, was abducted and his driver was wounded in the attack. Waheed was released on April 23, 2014. No group claimed responsibility for the incident."	1	1	1	0			0	1	0	6	Hostage Taking (Kidnapping)	2	Government (General)	18	"Government Personnel (excluding police, military)"	Afghan Ministry of Public Works	Deputy Minister: Ahmad Shah Waheed	4	Afghanistan	Unknown		0	0	-99	0	0		5	Firearms	5	Unknown Gun Type	0	0	1	0	0			1	1	START Primary Collection	AFG	29121286
1.99E+11	1988	1	1	0	160	Philippines	5	Southeast Asia	Unknown	Supidik			5	0			1	1	1	0			0	1	0	6	Hostage Taking (Kidnapping)	2	Government (General)	15	Politician or Political Party Movement/Meeting/Rally	Pol. Party	Quizon Alejandro	160	Philippines	New People's Army (NPA)		0	0					5	Firearms	3	Handgun	0		0		0			1	1	PGIS	PHL	99900177
1.98E+11	1984	3	26	0	88	Honduras	2	Central America & Caribbean		San PEdro Sula	15.50167	-88.02774	1	0			1	1	1	0			0	1	0	3	Bombing/Explosion	3	Police	22	"Police Building (headquarters, station, school)"		police station in Medina neighborhood	88	Honduras	Unknown		0	0					6	Explosives/Bombs/Dynamite	16	Unknown Explosive Type					1			0		PGIS	HND	7989415
2.01E+11	2007	6	7	0	95	Iraq	10	Middle East & North Africa	Nineveh	Mosul	36.34	43.13	1	0	In Hadba neighborhood.	"06/07/2007: Sahar al-Haideri, an Iraqi civilian female independent journalist, was killed by an unknown number of Ansar al-Sunna perpetrators firing small arms at approximately 12:00 PM in Hadba neighborhood, Mosul, Ninawa Governorate, Iraq.  Ansal al-Sunna later claimed responsibility for the attack."	1	1	1	0			0	1	0	1	Assassination	10	Journalists & Media	53	Newspaper Journalist/Staff/Facility	Iraqi journalist	Sahar al-Haideri	95	Iraq	Ansar al-Islam	Accused Haideri of negatively portraying the mujahedin.	0	0			1	-9	5	Firearms	5	Unknown Gun Type	1	0	0	0	0			0		CETIS	IRQ	29671605
2.02E+11	2016	10	9	0	95	Iraq	10	Middle East & North Africa	Babil	Yusufiyah	33.079167	44.253056	1	0		"10/09/2016: An explosive device detonated targeting a volunteer fighter patrol in Yusufiyah, Babil, Iraq. Two volunteers were killed and four were injured in the blast. No group claimed responsibility for the incident."	1	1	1	0			0	1	0	3	Bombing/Explosion	17	Terrorists/Non-State Militia	94	Non-State Militia	Iraqi Volunteer Forces	Patrol	95	Iraq	Unknown		0	0	-99	0	0		6	Explosives/Bombs/Dynamite	16	Unknown Explosive Type	2	0	4	0	-9			0		START Primary Collection	IRQ	29671605
2.01E+11	2006	7	27	0	92	India	6	South Asia	Jammu and Kashmir	Masiri	33.093889	75.576111	2	0		"07/27/2006: A grenade was launched through the window of a house, killing one, and injuring six members of the same family, in Masiri, India-controlled Kashmir by suspected Islamic militants. It was the day before India's President was scheduled to visit, and one of the injured was previously a member of the Hizb-ul-Mujahadeen and surrendered to police. No group claimed responsibility for the attack."	1	1	1	0			0	1	0	3	Bombing/Explosion	14	Private Citizens & Property			Unknown	Unknown	4	Afghanistan	Unknown	Unknown	0	0		0	0		6	Explosives/Bombs/Dynamite	7	Grenade	1	0	6		-9			0		CETIS	IND	1173108018
2.02E+11	2016	3	15	0	153	Pakistan	6	South Asia	Balochistan	Kalat	29.02715	66.592524	1	0		"03/15/2016: Assailants opened fire on Allah Bakhsh in Kalat, Balochistan, Pakistan. Bakhsh, a local councilor and National Party leader, was killed in the assault. No group claimed responsibility for the attack."	1	1	1	0			0	1	0	1	Assassination	2	Government (General)	15	Politician or Political Party Movement/Meeting/Rally	Government of Hazar Gangi	Councilor: Allah Bakhsh	153	Pakistan	Unknown		0	0	-99	0	0		5	Firearms	5	Unknown Gun Type	1	0	0	0	0			0		START Primary Collection	PAK	177276594
2.01E+11	2009	10	27	0	6	Algeria	10	Middle East & North Africa	Tizi Ouzou	Azazga	36.74472	4.37222	1	0	"The attack took place in Azazga, Tizi Ouzou, Algeria."	"10/27/2009: On Tuesday afternoon at 1600, in Azazga, Tizi Ouzou, Algeria, assailants detonated an improvised explosive device, between the villages of Ait Bouada and Cheurfa, wounding a civilian. It is unknown if the attack caused any property damage. No claim of responsibility has been reported."	1	1	1	0			0	1	0	3	Bombing/Explosion	14	Private Citizens & Property	67	Unnamed Civilian/Unspecified		Civilians	6	Algeria	Unknown	The specific motive for the attack is unknown.	0	0	-99	0	0		6	Explosives/Bombs/Dynamite	17	Other Explosive Type	0	0	1	0	-9	4	Unknown	0		ISVG	DZA	34586184
2.02E+11	2015	5	16	0	228	Yemen	10	Middle East & North Africa	Adan	Aden	12.774642	45.03965	1	0	The incident occurred in Craiter neighborhood	"05/16/2015: Assailants stormed the political offices of the Islamic Reform Group (Islah) in Crater neighborhood, Aden city, Adan governorate, Yemen. No casualties were reported. No group claimed responsibility for the incident; however, sources attributed the attack to Huthis."	1	1	1	0			0	1	0	7	Facility/Infrastructure Attack	22	Violent Political Party	110	Party Office/Facility	Islamic Reform Group (Islah)	Headquarters	228	Yemen	Houthi extremists (Ansar Allah)		0	0	-99	0	0		5	Firearms	5	Unknown Gun Type	0	0	0	0	1	3	Minor (likely < $1 million)	0		START Primary Collection	YEM	23495361
1.99E+11	1991	4	30	0	185	Spain	8	Western Europe	Basque Country	Vizcaya district	43.224079	-2.718935	3	0			1	1	1	0			0	1	0	3	Bombing/Explosion	14	Private Citizens & Property	82	Labor Union Related	Employers organization	offices	185	Spain	Basque Fatherland and Freedom (ETA)		0	0					6	Explosives/Bombs/Dynamite	16	Unknown Explosive Type	0		4		1			0		PGIS	ESP	40548753
2.01E+11	2014	11	5	0	95	Iraq	10	Middle East & North Africa	Wasit	Kut	32.505543	45.824801	1	0	The incident occurred at the Al Amil square	"11/05/2014: An explosive device detonated targeting a police vehicle in Al Amil Square, Kut city, Wasit governorate, Iraq. At least three people, including a police officer, were injured in the blast. No group claimed responsibility for the incident."	1	1	1	0			0	1	0	3	Bombing/Explosion	3	Police	23	Police Patrol (including vehicles and convoys)	Iraqi Traffic Police	Vehicle	95	Iraq	Unknown		0	0	-99	0	0		6	Explosives/Bombs/Dynamite	16	Unknown Explosive Type	0	0	3	0	1	3	Minor (likely < $1 million)	0		START Primary Collection	IRQ	29671605
2.02E+11	2016	8	23	0	228	Yemen	10	Middle East & North Africa	Taizz	Taizz	13.575771	44.016802	1	0	The incident occurred in the Han mountain.	"08/23/2016: Assailants attacked Han mountain area in Taizz, Yemen. No casualties were reported as security forces repelled the assault. This was one of two related attacks in Taizz on this date. No group claimed responsibility; however, sources attributed the incidents to Huthi extremists."	1	1	1	0			1	0	0	9	Unknown	14	Private Citizens & Property	75	Village/City/Town/Suburb	Han Mountain	Mountain	228	Yemen	Houthi extremists (Ansar Allah)		0	0	-99	0	0		13	Unknown			0	0	0	0	0			0		START Primary Collection	YEM	23495361
1.99E+11	1992	3	17	0	78	Greece	8	Western Europe	Attica	Athens	37.97918	23.716647	1	0			1	1	1	0			0	1	0	3	Bombing/Explosion	1	Business	3	Bank/Commerce		State Bank	78	Greece	1-May		0	0					6	Explosives/Bombs/Dynamite	16	Unknown Explosive Type	0		0		1			0		PGIS	GRC	10749943
1.99E+11	1992	9	10	0	97	Israel	10	Middle East & North Africa	Gaza Strip	Nuseirat	31.451665	34.39413	1	0			1	1	1	0			0	1	0	1	Assassination	14	Private Citizens & Property	68	Named Civilian	Israeli Collaborator	Tsuberi Mohammed Abu-Rahmed	97	Israel	Palestinians		0	0					5	Firearms	3	Handgun	1		0		0			0		PGIS	ISR	7353985
